Accuracy,Precision,Recall,F1
0.5294117647058824,0.0,0.0,0.0
0.5882352941176471,0.5833333333333334,0.4375,0.5
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.25,0.0625,0.1
0.4117647058823529,0.25,0.125,0.16666666666666666
0.5294117647058824,0.0,0.0,0.0
0.4117647058823529,0.42857142857142855,0.75,0.5454545454545454
0.4411764705882353,0.45161290322580644,0.875,0.5957446808510638
0.5294117647058824,0.0,0.0,0.0
